City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Srednekolymsk,RU,67.45,153.6833,48.43,55,12,4.97,few clouds
167,Lata,PT,40.1629,-8.3327,67.35,68,0,6.93,clear sky
168,Cayenne,GF,4.9333,-52.3333,89.64,72,0,7.0,clear sky
169,Hilo,US,19.7297,-155.09,76.73,79,90,3.44,light rain
170,Iqaluit,CA,63.7506,-68.5145,46.13,61,75,10.0,broken clouds
171,Astara,AZ,38.5,48.6667,73.38,67,0,2.91,clear sky
172,Ostersund,SE,63.1792,14.6357,51.62,81,90,19.57,overcast clouds
173,Tavda,RU,58.0425,65.2726,60.84,88,94,3.36,light rain
174,Macusani,PE,-14.0833,-70.4333,39.6,83,99,6.29,overcast clouds
175,Hithadhoo,MV,-0.6,73.0833,81.25,74,30,2.46,scattered clouds
176,Kathu,TH,7.9178,98.3332,86.7,82,85,13.09,overcast clouds
177,Half Moon Bay,US,37.4636,-122.4286,94.57,64,1,6.91,clear sky
178,Mossendjo,CG,-2.9506,12.7261,76.19,58,22,6.31,few clouds
179,Nagato,JP,34.3833,131.2,76.91,88,100,11.05,overcast clouds
180,Tura,IN,25.5198,90.2201,74.97,98,100,3.53,overcast clouds
181,Shimoda,JP,34.6667,138.95,75.11,91,68,5.93,broken clouds
182,Bagdarin,RU,54.4333,113.6,59.61,83,56,2.08,broken clouds
183,Monchegorsk,RU,67.9397,32.8739,56.03,86,87,13.38,overcast clouds
184,Esperance,AU,-33.8667,121.9,51.64,84,5,14.23,clear sky
185,Tzucacab,MX,20.0667,-89.05,98.6,32,60,6.2,broken clouds
186,Atar,MR,20.5169,-13.0499,111.25,12,99,20.71,overcast clouds
187,Tateyama,JP,34.9833,139.8667,80.02,91,74,8.97,broken clouds
188,Alice Springs,AU,-23.7,133.8833,40.55,75,4,4.61,clear sky
189,Svetlaya,RU,46.5389,138.3297,67.37,75,75,6.71,broken clouds
190,Garissa,KE,-0.4536,39.6401,76.35,57,13,24.09,few clouds
191,Muros,ES,42.7762,-9.0603,81.68,89,45,8.1,scattered clouds
192,Rodos,GR,36.4408,28.2225,78.46,85,20,3.0,few clouds
193,Naze,JP,28.3667,129.4833,78.48,84,99,17.65,overcast clouds
194,Sept-Iles,CA,50.2001,-66.3821,73.4,58,20,4.0,few clouds
195,Narsaq,GL,60.9167,-46.05,53.82,97,100,1.34,light rain
196,Anaconda,US,46.1285,-112.9423,89.96,12,5,8.46,clear sky
197,Cidreira,BR,-30.1811,-50.2056,53.64,52,3,25.03,clear sky
198,Vao,NC,-22.6667,167.4833,69.62,68,100,13.91,overcast clouds
199,Date,JP,42.4681,140.8681,69.84,82,0,5.01,clear sky
200,Cervo,ES,43.6702,-7.4101,81.19,84,1,7.14,clear sky
201,Shalya,RU,57.2471,58.7298,58.51,97,27,3.74,scattered clouds
202,Talnakh,RU,69.4865,88.3972,49.59,77,100,5.41,overcast clouds
