City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
518,Cazones,MX,87.06,scattered clouds,20.7167,-97.3167,Hotel paraíso
523,Waterloo,CA,87.48,scattered clouds,43.4668,-80.5164,Comfort Inn
524,Paulo Afonso,BR,81.36,overcast clouds,-9.4061,-38.2147,Pousada Ilha Bela
525,Wad Rawah,SD,84.52,overcast clouds,15.1603,33.1397,ود الترابي
527,Neftcala,AZ,80.67,broken clouds,39.3742,49.2472,Otel restoran
528,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
529,Campbellton,CA,82.85,overcast clouds,48.0075,-66.6727,Super 8 by Wyndham Campbellton NB
530,Bereda,ES,79.57,clear sky,43.2686,-7.5406,Pazo de Verdes
531,Santa Rosa,PH,82.38,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
544,Maneadero,MX,86.18,few clouds,31.7167,-116.5667,Casa De Thompson
546,Oistins,BB,87.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
549,Sitia,GR,77.29,clear sky,35.2,26.0986,Sitia Bay
550,Manikpur,IN,85.21,overcast clouds,25.0667,81.1167,Pure Jhau Lal
551,Mantua,IT,81.64,broken clouds,45.1667,10.7833,Hotel la Favorita
555,Zhangye,CN,80.73,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
556,Kudat,MY,80.53,few clouds,6.8837,116.8477,Dream Garden Hotel
561,Kilakarai,IN,82.87,overcast clouds,9.2333,78.7833,Geohomz Jamath Kilakarai
562,Yenagoa,NG,76.3,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
568,Pangai,TO,77.11,few clouds,-19.8,-174.35,Ha'apai Beach Resort
570,Lufilufi,WS,81.48,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
571,Kalmunai,LK,79.5,overcast clouds,7.4167,81.8167,VS Villa
572,Ugoofaaru,MV,83.03,overcast clouds,5.6667,73.0,Ungoofaaru Inn
577,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
580,Vila Do Maio,CV,84.99,scattered clouds,15.1333,-23.2167,Hotel Marilu
584,Bluefields,NI,84.27,broken clouds,12.0137,-83.7635,Flamingo Hotel and Casino
588,Hamilton,US,84.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
590,Ingham,US,84.24,clear sky,42.6,-84.3833,Sunset Place
593,Aquiraz,BR,86.22,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
594,Labuhan,ID,76.48,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
597,Sal Rei,CV,80.8,few clouds,16.1833,-22.9167,Marine Club Beach Resort
598,Tamale,GH,81.45,overcast clouds,9.4008,-0.8393,Tap Hotel
599,Huntington,US,80.22,broken clouds,38.4193,-82.4452,Ramada Limited Huntington
603,Loreto,MX,75.02,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
605,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
609,Chapais,CA,82.18,few clouds,49.7834,-74.8492,Hôtel Opémiska
610,Martinsville,US,88.27,scattered clouds,36.6915,-79.8725,Hampton Inn Martinsville
611,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
615,Bonaventure,CA,82.99,overcast clouds,48.0457,-65.4926,Riôtel Bonaventure (N° établissement : 1271)
618,Pishin,PK,88.52,clear sky,30.5803,66.9961,City Hotel Pishin
619,Taiping,MY,79.0,overcast clouds,4.85,100.7333,Flemington Hotel
621,Vieux-Habitants,GP,85.57,scattered clouds,16.0589,-61.7659,Gîtes Dardanelle
622,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
623,Barra,BR,89.51,clear sky,-11.0894,-43.1417,Motel Albatroz
624,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
626,Madras,IN,82.38,light intensity drizzle,13.0878,80.2785,City home
628,Yahualica,MX,77.88,clear sky,21.1333,-102.85,Hotel Sun & Water Resort
629,Guatire,VE,81.1,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
631,Malanville,BJ,87.01,overcast clouds,11.8685,3.3899,DEVO HOTEL
633,Sabang,ID,82.54,overcast clouds,5.8933,95.3214,Hotel Citra
634,Matara,LK,79.2,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
635,Bandarbeyla,SO,76.64,overcast clouds,9.4942,50.8122,JABIR HOTEL
640,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
644,Huron,US,81.82,clear sky,41.1501,-82.5499,Meadow Brook Mobile Estates
645,Ewa Beach,US,79.99,light intensity drizzle,21.3156,-158.0072,Uncle Junior Robert
647,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
648,Jalu,LY,84.45,clear sky,29.0331,21.5482,صاحبة الفخامة
650,Thiruvananthapuram,IN,78.78,mist,8.4833,76.9167,Hotel Residency Tower
656,Boralday,KZ,75.06,clear sky,43.3578,76.8594,"Zhetysu, Too Zhetysu"
658,Meulaboh,ID,76.03,overcast clouds,4.1363,96.1285,Kost Pria
660,Basco,PH,84.31,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
662,Male,MV,84.15,scattered clouds,4.1748,73.5089,Hotel Octave Maldives
663,Padang,ID,76.91,broken clouds,-0.9492,100.3543,Mercure Padang
667,Ozark,US,85.46,broken clouds,37.0209,-93.206,Americas Best Value Inn Ozark Springfield
